,CBSA,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,Area,ID,CBSAFIPS
48,"Camden, AR Micro Area",310M500US15780,29022,13980,15042,2478,2216,4694,1982,2036,4018,1506,1591,3097,1517,1727,3244,3099,3388,6487,2506,3271,5777,8.5,7.6,16.2,6.8,7.0,13.8,5.2,5.5,10.7,5.2,6.0,11.2,10.7,11.7,22.4,8.6,11.3,19.9,Camden, AR,Micro Area,15780,15780
49,"Campbellsville, KY Micro Area",310M500US15820,36550,17908,18642,3060,2817,5877,3154,3005,6159,2002,2036,4038,2010,2063,4073,3696,3831,7527,2876,3787,6663,8.4,7.7,16.1,8.6,8.2,16.9,5.5,5.6,11.0,5.5,5.6,11.1,10.1,10.5,20.6,7.9,10.4,18.2,Campbellsville, KY,Micro Area,15820,15820
50,"Cañon City, CO Micro Area",310M500US15860,47321,27599,19722,2870,2778,5648,3915,2090,6005,5074,2322,7396,4082,1759,5841,5788,4786,10574,4905,5105,10010,6.1,5.9,11.9,8.3,4.4,12.7,10.7,4.9,15.6,8.6,3.7,12.3,12.2,10.1,22.3,10.4,10.8,21.2,Cañon City, CO,Micro Area,15860,15860
51,"Canton-Massillon, OH Metro Area",310M500US15940,399736,194745,204991,32757,31067,63824,29511,28967,58478,22015,22947,44962,23893,24257,48150,41523,44070,85593,33521,42904,76425,8.2,7.8,16.0,7.4,7.2,14.6,5.5,5.7,11.2,6.0,6.1,12.0,10.4,11.0,21.4,8.4,10.7,19.1,Canton-Massillon, OH,Metro Area,15940,15940
52,"Cape Coral-Fort Myers, FL Metro Area",310M500US15980,737468,361232,376236,49838,47370,97208,46532,45676,92208,38993,38849,77842,39451,40269,79720,69960,79017,148977,98818,108351,207169,6.8,6.4,13.2,6.3,6.2,12.5,5.3,5.3,10.6,5.3,5.5,10.8,9.5,10.7,20.2,13.4,14.7,28.1,Cape Coral-Fort Myers, FL,Metro Area,15980,15980
53,"Cheyenne, WY Metro Area",310M500US16940,98320,49857,48463,8510,8071,16581,8909,7508,16417,7031,6817,13848,5956,5236,11192,9213,9621,18834,7057,8217,15274,8.7,8.2,16.9,9.1,7.6,16.7,7.2,6.9,14.1,6.1,5.3,11.4,9.4,9.8,19.2,7.2,8.4,15.5,Cheyenne, WY,Metro Area,16940,16940
54,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",310M500US16980,9508605,4654160,4854445,820074,790556,1610630,788402,771523,1559925,658930,664217,1323147,616933,631576,1248509,893423,949260,1842683,580987,764623,1345610,8.6,8.3,16.9,8.3,8.1,16.4,6.9,7.0,13.9,6.5,6.6,13.1,9.4,10.0,19.4,6.1,8.0,14.2,Chicago-Naperville-Elgin, IL,IN-WI Metro Area,16980,16980
55,"Cape Girardeau, MO-IL Metro Area",310M500US16020,96976,47035,49941,7655,7701,15356,9037,9474,18511,5932,5530,11462,4968,5648,10616,9326,9690,19016,7229,9212,16441,7.9,7.9,15.8,9.3,9.8,19.1,6.1,5.7,11.8,5.1,5.8,10.9,9.6,10.0,19.6,7.5,9.5,17.0,Cape Girardeau, MO,IL Metro Area,16020,16020
56,"Carbondale-Marion, IL Metro Area",310M500US16060,137573,69075,68498,9977,9984,19961,14752,13264,28016,8713,7803,16516,8391,7704,16095,12759,12878,25637,10557,13160,23717,7.3,7.3,14.5,10.7,9.6,20.4,6.3,5.7,12.0,6.1,5.6,11.7,9.3,9.4,18.6,7.7,9.6,17.2,Carbondale-Marion, IL,Metro Area,16060,16060
57,"Carlsbad-Artesia, NM Micro Area",310M500US16100,57732,29137,28595,5698,5389,11087,4737,4506,9243,4163,3846,8009,3278,3085,6363,5323,5218,10541,3787,4467,8254,9.9,9.3,19.2,8.2,7.8,16.0,7.2,6.7,13.9,5.7,5.3,11.0,9.2,9.0,18.3,6.6,7.7,14.3,Carlsbad-Artesia, NM,Micro Area,16100,16100
58,"Carroll, IA Micro Area",310M500US16140,20281,10005,10276,1924,1738,3662,1284,1270,2554,1051,1055,2106,1163,1146,2309,2171,2173,4344,1721,2279,4000,9.5,8.6,18.1,6.3,6.3,12.6,5.2,5.2,10.4,5.7,5.7,11.4,10.7,10.7,21.4,8.5,11.2,19.7,Carroll, IA,Micro Area,16140,16140
59,"Carson City, NV Metro Area",310M500US16180,54773,28133,26640,4241,4007,8248,4265,3572,7837,3886,2925,6811,3285,3001,6286,6003,5760,11763,4956,5901,10857,7.7,7.3,15.1,7.8,6.5,14.3,7.1,5.3,12.4,6.0,5.5,11.5,11.0,10.5,21.5,9.0,10.8,19.8,Carson City, NV,Metro Area,16180,16180
60,"Casper, WY Metro Area",310M500US16220,80333,40342,39991,7153,6851,14004,6420,6281,12701,5849,5458,11307,4902,4727,9629,7956,7772,15728,5227,6353,11580,8.9,8.5,17.4,8.0,7.8,15.8,7.3,6.8,14.1,6.1,5.9,12.0,9.9,9.7,19.6,6.5,7.9,14.4,Casper, WY,Metro Area,16220,16220
61,"Cedar City, UT Micro Area",310M500US16260,51213,25373,25840,5278,5349,10627,5730,5834,11564,3232,3025,6257,2561,2665,5226,3461,3568,7029,3090,3335,6425,10.3,10.4,20.8,11.2,11.4,22.6,6.3,5.9,12.2,5.0,5.2,10.2,6.8,7.0,13.7,6.0,6.5,12.5,Cedar City, UT,Micro Area,16260,16260
62,"Cedar Rapids, IA Metro Area",310M500US16300,270056,133800,136256,23655,22679,46334,21316,20548,41864,18514,17227,35741,16101,16886,32987,26378,26487,52865,19291,24255,43546,8.8,8.4,17.2,7.9,7.6,15.5,6.9,6.4,13.2,6.0,6.3,12.2,9.8,9.8,19.6,7.1,9.0,16.1,Cedar Rapids, IA,Metro Area,16300,16300
63,"Cedartown, GA Micro Area",310M500US16340,41908,20607,21301,4060,3924,7984,3252,3011,6263,2615,2600,5215,2589,2736,5325,3824,3991,7815,2834,3619,6453,9.7,9.4,19.1,7.8,7.2,14.9,6.2,6.2,12.4,6.2,6.5,12.7,9.1,9.5,18.6,6.8,8.6,15.4,Cedartown, GA,Micro Area,16340,16340
64,"Celina, OH Micro Area",310M500US16380,40884,20670,20214,3972,3646,7618,3001,2703,5704,2292,2096,4388,2385,2295,4680,4291,4224,8515,3246,3828,7074,9.7,8.9,18.6,7.3,6.6,14.0,5.6,5.1,10.7,5.8,5.6,11.4,10.5,10.3,20.8,7.9,9.4,17.3,Celina, OH,Micro Area,16380,16380
65,"Central City, KY Micro Area",310M500US16420,30951,15239,15712,2341,2314,4655,2581,2203,4784,1763,1820,3583,2071,2111,4182,3158,3175,6333,2498,3265,5763,7.6,7.5,15.0,8.3,7.1,15.5,5.7,5.9,11.6,6.7,6.8,13.5,10.2,10.3,20.5,8.1,10.5,18.6,Central City, KY,Micro Area,16420,16420
