CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Fort Smith, AR-OK Metro Area",310M200US22900,22900,280394,18333,51498,42558,33999,38232,54891,40883,6.5,18.4,15.2,12.1,13.6,19.6,14.6
"Fort Wayne, IN Metro Area",310M200US23060,23060,422029,30195,80467,66313,53457,54970,82097,54530,7.2,19.1,15.7,12.7,13.0,19.5,12.9
"Frankfort, IN Micro Area",310M200US23140,23140,32987,2270,6349,4670,3908,4273,6611,4906,6.9,19.2,14.2,11.8,13.0,20.0,14.9
"Frankfort, KY Micro Area",310M200US23180,23180,71173,4204,11718,10518,9137,10190,15249,10157,5.9,16.5,14.8,12.8,14.3,21.4,14.3
"Fredericksburg, TX Micro Area",310M200US23240,23240,25179,1226,3698,2560,2008,3031,5584,7072,4.9,14.7,10.2,8.0,12.0,22.2,28.1
"Freeport, IL Micro Area",310M200US23300,23300,47053,2670,7736,6093,4458,6467,10327,9302,5.7,16.4,12.9,9.5,13.7,21.9,19.8
"Fremont, NE Micro Area",310M200US23340,23340,36742,2346,6349,5259,4525,4360,7089,6814,6.4,17.3,14.3,12.3,11.9,19.3,18.5
"Fremont, OH Micro Area",310M200US23380,23380,60498,3657,10670,8143,6851,8186,13300,9691,6.0,17.6,13.5,11.3,13.5,22.0,16.0
"Fresno, CA Metro Area",310M200US23420,23420,948844,79613,198214,180520,124740,113686,151507,100564,8.4,20.9,19.0,13.1,12.0,16.0,10.6
"Gadsden, AL Metro Area",310M200US23460,23460,104126,6053,17376,15003,12790,14067,21672,17165,5.8,16.7,14.4,12.3,13.5,20.8,16.5
"Gaffney, SC Micro Area",310M200US23500,23500,55707,3643,9843,8720,6932,7621,11007,7941,6.5,17.7,15.7,12.4,13.7,19.8,14.3
"Gainesville, FL Metro Area",310M200US23540,23540,268707,14677,34052,81785,30605,28928,46454,32206,5.5,12.7,30.4,11.4,10.8,17.3,12.0
"Gainesville, GA Metro Area",310M200US23580,23580,185318,13575,36909,29398,24077,26382,31916,23061,7.3,19.9,15.9,13.0,14.2,17.2,12.4
"Gainesville, TX Micro Area",310M200US23620,23620,38558,2536,6994,5569,4500,4457,8154,6348,6.6,18.1,14.4,11.7,11.6,21.1,16.5
"Galesburg, IL Micro Area",310M200US23660,23660,52447,2645,7918,8278,6406,6147,11080,9973,5.0,15.1,15.8,12.2,11.7,21.1,19.0
"Gallup, NM Micro Area",310M200US23700,23700,73082,6406,15965,13447,8819,8729,12328,7388,8.8,21.8,18.4,12.1,11.9,16.9,10.1
"Garden City, KS Micro Area",310M200US23780,23780,41049,3884,9018,7031,5459,5016,6776,3865,9.5,22.0,17.1,13.3,12.2,16.5,9.4
"Gardnerville Ranchos, NV Micro Area",310M200US23820,23820,47135,2074,6914,5264,4401,5830,12052,10600,4.4,14.7,11.2,9.3,12.4,25.6,22.5
"Georgetown, SC Micro Area",310M200US23860,23860,60389,3103,9366,6937,5823,7506,14257,13397,5.1,15.5,11.5,9.6,12.4,23.6,22.2
"Gettysburg, PA Metro Area",310M200US23900,23900,101566,5338,16346,15104,10782,14531,22251,17214,5.3,16.1,14.9,10.6,14.3,21.9,16.9
"Gillette, WY Micro Area",310M200US23940,23940,47448,3931,9365,8449,7012,6310,9384,2997,8.3,19.7,17.8,14.8,13.3,19.8,6.3
"Glasgow, KY Micro Area",310M200US23980,23980,52716,3356,9177,7243,6177,7408,10715,8640,6.4,17.4,13.7,11.7,14.1,20.3,16.4
"Glenwood Springs, CO Micro Area",310M200US24060,24060,73987,5074,12825,11192,10816,10614,15485,7981,6.9,17.3,15.1,14.6,14.3,20.9,10.8
"Gloversville, NY Micro Area",310M200US24100,24100,54870,2859,8827,7642,6479,7670,12127,9266,5.2,16.1,13.9,11.8,14.0,22.1,16.9
"Goldsboro, NC Metro Area",310M200US24140,24140,124093,8574,21736,21446,15715,15641,24024,16957,6.9,17.5,17.3,12.7,12.6,19.4,13.7
"Grand Forks, ND-MN Metro Area",310M200US24220,24220,99774,6603,14585,26104,10829,10924,18012,12717,6.6,14.6,26.2,10.9,10.9,18.1,12.7
"Grand Island, NE Metro Area",310M200US24260,24260,83426,5976,15924,11813,10369,10492,16342,12510,7.2,19.1,14.2,12.4,12.6,19.6,15.0
"Grand Junction, CO Metro Area",310M200US24300,24300,147509,9567,24273,24925,18193,16727,30405,23419,6.5,16.5,16.9,12.3,11.3,20.6,15.9
"Grand Rapids-Wyoming, MI Metro Area",310M200US24340,24340,1007329,68180,186801,177333,127631,131365,191767,124252,6.8,18.5,17.6,12.7,13.0,19.0,12.3
"Grants, NM Micro Area",310M200US24380,24380,27392,1851,4840,4496,3689,3327,5419,3770,6.8,17.7,16.4,13.5,12.1,19.8,13.8
"Grants Pass, OR Metro Area",310M200US24420,24420,83021,4169,12386,9796,7692,9828,19726,19424,5.0,14.9,11.8,9.3,11.8,23.8,23.4
"Great Bend, KS Micro Area",310M200US24460,24460,27566,1897,4886,4110,2919,3288,5701,4765,6.9,17.7,14.9,10.6,11.9,20.7,17.3
"Great Falls, MT Metro Area",310M200US24500,24500,81953,5519,13077,14248,9638,9459,16781,13231,6.7,16.0,17.4,11.8,11.5,20.5,16.1
"Greeley, CO Metro Area",310M200US24540,24540,265066,19953,52312,46359,36982,34822,47124,27514,7.5,19.7,17.5,14.0,13.1,17.8,10.4
"Green Bay, WI Metro Area",310M200US24580,24580,310726,20334,54449,48538,39943,42932,63427,41103,6.5,17.5,15.6,12.9,13.8,20.4,13.2
"Greeneville, TN Micro Area",310M200US24620,24620,68596,3327,10763,9064,7995,9552,15160,12735,4.9,15.7,13.2,11.7,13.9,22.1,18.6
"Greenfield Town, MA Micro Area",310M200US24640,24640,71300,3312,10202,9813,7717,9954,18450,11852,4.6,14.3,13.8,10.8,14.0,25.9,16.6
"Greensboro-High Point, NC Metro Area",310M200US24660,24660,735777,44425,124851,122828,91819,104784,144364,102706,6.0,17.0,16.7,12.5,14.2,19.6,14.0
"Greensburg, IN Micro Area",310M200US24700,24700,26112,1589,4987,3530,3111,3692,5339,3864,6.1,19.1,13.5,11.9,14.1,20.4,14.8
"Greenville, MS Micro Area",310M200US24740,24740,50038,3831,9803,7958,5977,5861,10151,6457,7.7,19.6,15.9,11.9,11.7,20.3,12.9
"Greenville, NC Metro Area",310M200US24780,24780,172438,10996,27211,44893,21749,20499,28776,18314,6.4,15.8,26.0,12.6,11.9,16.7,10.6
"Greenville, OH Micro Area",310M200US24820,24820,52537,3281,9637,6618,5972,6866,10874,9289,6.2,18.3,12.6,11.4,13.1,20.7,17.7
"Greenville-Anderson-Mauldin, SC Metro Area",310M200US24860,24860,842817,52902,141989,142131,104660,115671,164216,121248,6.3,16.8,16.9,12.4,13.7,19.5,14.4
"Greenwood, MS Micro Area",310M200US24900,24900,42190,3038,7719,7213,5492,4786,8080,5862,7.2,18.3,17.1,13.0,11.3,19.2,13.9
"Greenwood, SC Micro Area",310M200US24940,24940,94808,6072,15789,15314,10219,13021,18732,15661,6.4,16.7,16.2,10.8,13.7,19.8,16.5
"Grenada, MS Micro Area",310M200US24980,24980,21660,1401,3827,3159,2262,3185,4417,3409,6.5,17.7,14.6,10.4,14.7,20.4,15.7
"Glens Falls, NY Metro Area",310M200US24020,24020,128298,6337,19302,18104,13443,19345,29474,22293,4.9,15.0,14.1,10.5,15.1,23.0,17.4
"Hillsdale, MI Micro Area",310M200US25880,25880,46282,2646,7969,6898,4610,6228,10266,7665,5.7,17.2,14.9,10.0,13.5,22.2,16.6
"Hilo, HI Micro Area",310M200US25900,25900,189382,11894,30455,27440,22567,22440,44162,30424,6.3,16.1,14.5,11.9,11.8,23.3,16.1
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",310M200US25940,25940,194495,12237,28153,32120,21760,21562,37415,41248,6.3,14.5,16.5,11.2,11.1,19.2,21.2
"Hinesville, GA Metro Area",310M200US25980,25980,80456,8193,15446,19566,10790,9346,11538,5577,10.2,19.2,24.3,13.4,11.6,14.3,6.9
"Guayama, PR Metro Area",310M200US25020,25020,82282,4826,15170,13836,10464,10814,15086,12086,5.9,18.4,16.8,12.7,13.1,18.3,14.7
"Gulfport-Biloxi-Pascagoula, MS Metro Area",310M200US25060,25060,378972,25509,66801,62166,49773,49616,74886,50221,6.7,17.6,16.4,13.1,13.1,19.8,13.3
"Guymon, OK Micro Area",310M200US25100,25100,21495,1802,4203,4145,3174,2448,3583,2140,8.4,19.6,19.3,14.8,11.4,16.7,10.0
"Hagerstown-Martinsburg, MD-WV Metro Area",310M200US25180,25180,256237,15835,44055,37800,31977,39645,51456,35469,6.2,17.2,14.8,12.5,15.5,20.1,13.8
"Hailey, ID Micro Area",310M200US25200,25200,27671,1746,5194,3295,3326,3955,6347,3808,6.3,18.8,11.9,12.0,14.3,22.9,13.8
"Hammond, LA Metro Area",310M200US25220,25220,124125,8853,22099,24058,15398,15117,23545,15055,7.1,17.8,19.4,12.4,12.2,19.0,12.1
"Hanford-Corcoran, CA Metro Area",310M200US25260,25260,151390,12396,29473,30549,23716,19713,22702,12841,8.2,19.5,20.2,15.7,13.0,15.0,8.5
"Hannibal, MO Micro Area",310M200US25300,25300,39068,2473,6587,5596,4423,5052,8309,6628,6.3,16.9,14.3,11.3,12.9,21.3,17.0
"Harrisburg-Carlisle, PA Metro Area",310M200US25420,25420,555154,32204,88557,87862,67510,76136,118297,84588,5.8,16.0,15.8,12.2,13.7,21.3,15.2
"Harrison, AR Micro Area",310M200US25460,25460,45300,2530,7617,5874,4991,5947,9536,8805,5.6,16.8,13.0,11.0,13.1,21.1,19.4
"Harrisonburg, VA Metro Area",310M200US25500,25500,128166,7037,18835,34702,14035,14891,21598,17068,5.5,14.7,27.1,11.0,11.6,16.9,13.3
"Hartford-West Hartford-East Hartford, CT Metro Area",310M200US25540,25540,1215159,63610,198341,196702,142044,175554,256766,182142,5.2,16.3,16.2,11.7,14.4,21.1,15.0
"Hastings, NE Micro Area",310M200US25580,25580,31396,2059,5364,5645,3426,3637,6269,4996,6.6,17.1,18.0,10.9,11.6,20.0,15.9
"Hattiesburg, MS Metro Area",310M200US25620,25620,146370,10264,25644,31169,18669,18553,24612,17459,7.0,17.5,21.3,12.8,12.7,16.8,11.9
"Hays, KS Micro Area",310M200US25700,25700,28878,2000,4115,7519,3086,2983,5209,3966,6.9,14.2,26.0,10.7,10.3,18.0,13.7
"Heber, UT Micro Area",310M200US25720,25720,25550,2294,6252,3450,4055,3144,4083,2272,9.0,24.5,13.5,15.9,12.3,16.0,8.9
"Helena, MT Micro Area",310M200US25740,25740,76237,4344,12549,10491,8800,9677,18827,11549,5.7,16.5,13.8,11.5,12.7,24.7,15.1
"Helena-West Helena, AR Micro Area",310M200US25760,25760,20847,1631,4104,3070,2267,2309,4249,3217,7.8,19.7,14.7,10.9,11.1,20.4,15.4
"Henderson, NC Micro Area",310M200US25780,25780,44998,3025,8067,6687,5206,5961,9226,6826,6.7,17.9,14.9,11.6,13.2,20.5,15.2
"Hereford, TX Micro Area",310M200US25820,25820,19331,1858,4383,3172,2400,2231,3080,2207,9.6,22.7,16.4,12.4,11.5,15.9,11.4
"Hermiston-Pendleton, OR Micro Area",310M200US25840,25840,87862,6357,16896,13861,10700,11627,16769,11652,7.2,19.2,15.8,12.2,13.2,19.1,13.3
"Medford, OR Metro Area",310M200US32780,32780,206583,11969,32189,29617,22126,25897,45852,38933,5.8,15.6,14.3,10.7,12.5,22.2,18.8
"McMinnville, TN Micro Area",310M200US32660,32660,39867,2460,7054,5269,5363,5381,7949,6391,6.2,17.7,13.2,13.5,13.5,19.9,16.0
"McPherson, KS Micro Area",310M200US32700,32700,29308,1704,5076,4123,3208,3496,6270,5431,5.8,17.3,14.1,10.9,11.9,21.4,18.5
"Meadville, PA Micro Area",310M200US32740,32740,87801,4826,14332,13151,9246,11545,19433,15268,5.5,16.3,15.0,10.5,13.1,22.1,17.4
"Memphis, TN-MS-AR Metro Area",310M200US32820,32820,1337014,94342,252850,224147,178538,181138,255024,150975,7.1,18.9,16.8,13.4,13.5,19.1,11.3
"Menomonie, WI Micro Area",310M200US32860,32860,44045,2244,6661,11202,4799,5010,8256,5873,5.1,15.1,25.4,10.9,11.4,18.7,13.3
"Merced, CA Metro Area",310M200US32900,32900,261609,21710,58416,49963,33845,32022,39538,26115,8.3,22.3,19.1,12.9,12.2,15.1,10.0
"Meridian, MS Micro Area",310M200US32940,32940,107080,6885,18961,17430,12960,13596,21162,16086,6.4,17.7,16.3,12.1,12.7,19.8,15.0
"Merrill, WI Micro Area",310M200US32980,32980,28566,1357,4601,3285,2888,4169,6823,5443,4.8,16.1,11.5,10.1,14.6,23.9,19.1
"Mobile, AL Metro Area",310M200US33660,33660,414045,27854,73390,69370,51633,52889,82130,56779,6.7,17.7,16.8,12.5,12.8,19.8,13.7
"Modesto, CA Metro Area",310M200US33700,33700,522794,39237,106538,91502,67407,68172,90478,59460,7.5,20.4,17.5,12.9,13.0,17.3,11.4
"Monroe, LA Metro Area",310M200US33740,33740,177908,12407,32929,31166,22831,21506,33235,23834,7.0,18.5,17.5,12.8,12.1,18.7,13.4
"Monroe, MI Metro Area",310M200US33780,33780,150851,8312,26750,20750,16842,22217,34086,21894,5.5,17.7,13.8,11.2,14.7,22.6,14.5
"Montgomery, AL Metro Area",310M200US33860,33860,375225,24533,66698,65537,50142,49809,70466,48040,6.5,17.8,17.5,13.4,13.3,18.8,12.8
"Montrose, CO Micro Area",310M200US33940,33940,40885,2351,7154,4763,4536,5004,9081,7996,5.8,17.5,11.6,11.1,12.2,22.2,19.6
"Morehead City, NC Micro Area",310M200US33980,33980,67851,3204,9485,8668,7492,8864,16297,13841,4.7,14.0,12.8,11.0,13.1,24.0,20.4
"Mexico, MO Micro Area",310M200US33020,33020,25637,1643,4505,3790,3107,3408,4945,4239,6.4,17.6,14.8,12.1,13.3,19.3,16.5
"Miami, OK Micro Area",310M200US33060,33060,32086,2209,5732,4957,3649,3876,6061,5602,6.9,17.9,15.4,11.4,12.1,18.9,17.5
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M200US33100,33100,5775204,330607,887953,900596,752538,847317,1108141,948052,5.7,15.4,15.6,13.0,14.7,19.2,16.4
"Michigan City-La Porte, IN Metro Area",310M200US33140,33140,111293,6555,18248,16623,14672,14908,23764,16523,5.9,16.4,14.9,13.2,13.4,21.4,14.8
"Middlesborough, KY Micro Area",310M200US33180,33180,28234,1673,4431,4179,3406,3950,5968,4627,5.9,15.7,14.8,12.1,14.0,21.1,16.4
"Midland, MI Metro Area",310M200US33220,33220,83620,4481,14502,12644,9310,11880,17870,12933,5.4,17.3,15.1,11.1,14.2,21.4,15.5
"Midland, TX Metro Area",310M200US33260,33260,151483,12431,29280,28003,19566,18467,27611,16125,8.2,19.3,18.5,12.9,12.2,18.2,10.6
"Milledgeville, GA Micro Area",310M200US33300,33300,54897,2961,7650,13266,6000,6712,10774,7534,5.4,13.9,24.2,10.9,12.2,19.6,13.7
"Milwaukee-Waukesha-West Allis, WI Metro Area",310M200US33340,33340,1565368,101982,274938,258621,199487,211397,313253,205690,6.5,17.6,16.5,12.7,13.5,20.0,13.1
"Mineral Wells, TX Micro Area",310M200US33420,33420,28028,1879,4943,3848,3026,3491,5967,4874,6.7,17.6,13.7,10.8,12.5,21.3,17.4
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",310M200US33460,33460,3424786,230010,608975,557931,472207,488030,673010,394623,6.7,17.8,16.3,13.8,14.2,19.7,11.5
"Minot, ND Micro Area",310M200US33500,33500,74111,5531,11694,17177,9442,7964,12725,9578,7.5,15.8,23.2,12.7,10.7,17.2,12.9
"Missoula, MT Metro Area",310M200US33540,33540,111011,6080,15707,26154,14828,12767,21691,13784,5.5,14.1,23.6,13.4,11.5,19.5,12.4
"Mitchell, SD Micro Area",310M200US33580,33580,23122,1595,4061,3872,2680,2582,4538,3794,6.9,17.6,16.7,11.6,11.2,19.6,16.4
"Moberly, MO Micro Area",310M200US33620,33620,25207,1540,4165,4059,3307,3424,4982,3730,6.1,16.5,16.1,13.1,13.6,19.8,14.8
"Morgan City, LA Micro Area",310M200US34020,34020,53784,3686,9710,8537,6387,7211,10908,7345,6.9,18.1,15.9,11.9,13.4,20.3,13.7
"Morgantown, WV Metro Area",310M200US34060,34060,134052,6570,15988,39102,17356,15172,23937,15927,4.9,11.9,29.2,12.9,11.3,17.9,11.9
"Morristown, TN Metro Area",310M200US34100,34100,115029,6667,19129,16415,14326,15452,23171,19869,5.8,16.6,14.3,12.5,13.4,20.1,17.3
"Moscow, ID Micro Area",310M200US34140,34140,37989,2175,4897,12769,4195,3700,6079,4174,5.7,12.9,33.6,11.0,9.7,16.0,11.0
"Moses Lake, WA Micro Area",310M200US34180,34180,91458,8008,19833,15055,11412,10801,15177,11172,8.8,21.7,16.5,12.5,11.8,16.6,12.2
"Moultrie, GA Micro Area",310M200US34220,34220,45987,3732,8819,7328,5716,6393,7873,6126,8.1,19.2,15.9,12.4,13.9,17.1,13.3
"Mountain Home, AR Micro Area",310M200US34260,34260,41154,1811,5600,4286,3822,4434,9262,11939,4.4,13.6,10.4,9.3,10.8,22.5,29.0
"Mountain Home, ID Micro Area",310M200US34300,34300,26349,2244,4920,5751,3474,2776,4176,3008,8.5,18.7,21.8,13.2,10.5,15.8,11.4
"Mount Airy, NC Micro Area",310M200US34340,34340,73391,4102,12467,9473,8651,10363,15341,12994,5.6,17.0,12.9,11.8,14.1,20.9,17.7
"Mount Pleasant, MI Micro Area",310M200US34380,34380,70506,3451,8919,26521,6827,6793,10740,7255,4.9,12.6,37.6,9.7,9.6,15.2,10.3
"Mount Pleasant, TX Micro Area",310M200US34420,34420,32540,2737,6915,5313,3977,4228,5361,4009,8.4,21.3,16.3,12.2,13.0,16.5,12.3
"Mount Sterling, KY Micro Area",310M200US34460,34460,45190,2923,8062,6316,5681,6748,8937,6523,6.5,17.8,14.0,12.6,14.9,19.8,14.4
"Mount Vernon, IL Micro Area",310M200US34500,34500,38716,2428,6059,5688,4783,5170,8064,6524,6.3,15.6,14.7,12.4,13.4,20.8,16.9
"Mount Vernon, OH Micro Area",310M200US34540,34540,61063,3756,10644,10480,6340,7926,12478,9439,6.2,17.4,17.2,10.4,13.0,20.4,15.5
"Mount Vernon-Anacortes, WA Metro Area",310M200US34580,34580,118364,7487,19756,17093,13927,14243,25213,20645,6.3,16.7,14.4,11.8,12.0,21.3,17.4
"Muncie, IN Metro Area",310M200US34620,34620,117441,6086,16694,30223,11852,13485,21105,17996,5.2,14.2,25.7,10.1,11.5,18.0,15.3
"Murray, KY Micro Area",310M200US34660,34660,37981,1983,4865,10610,3958,4137,6578,5850,5.2,12.8,27.9,10.4,10.9,17.3,15.4
"Muscatine, IA Micro Area",310M200US34700,34700,42857,3007,8006,6129,5251,5503,8775,6186,7.0,18.7,14.3,12.3,12.8,20.5,14.4
"Muskegon, MI Metro Area",310M200US34740,34740,171328,10813,30698,25996,19974,23244,36092,24511,6.3,17.9,15.2,11.7,13.6,21.1,14.3
"Muskogee, OK Micro Area",310M200US34780,34780,70519,4982,12363,11034,8616,8977,13852,10695,7.1,17.5,15.6,12.2,12.7,19.6,15.2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",310M200US34820,34820,396187,21012,55198,55877,45336,49424,88769,80571,5.3,13.9,14.1,11.4,12.5,22.4,20.3
"Nacogdoches, TX Micro Area",310M200US34860,34860,65322,4587,10702,17358,6746,7026,10947,7956,7.0,16.4,26.6,10.3,10.8,16.8,12.2
"Napa, CA Metro Area",310M200US34900,34900,139253,7885,23194,21106,16700,19307,28790,22271,5.7,16.7,15.2,12.0,13.9,20.7,16.0
"Naples-Immokalee-Marco Island, FL Metro Area",310M200US34940,34940,334474,16750,46236,40163,33233,39324,64980,93788,5.0,13.8,12.0,9.9,11.8,19.4,28.0
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",310M200US34980,34980,1730515,115206,300579,295346,245595,246852,327929,199008,6.7,17.4,17.1,14.2,14.3,18.9,11.5
"Natchez, MS-LA Micro Area",310M200US35020,35020,52798,3316,8718,7991,6853,6257,11415,8248,6.3,16.5,15.1,13.0,11.9,21.6,15.6
"Natchitoches, LA Micro Area",310M200US35060,35060,39359,2544,6920,8715,4339,4268,6924,5649,6.5,17.6,22.1,11.0,10.8,17.6,14.4
"New Bern, NC Metro Area",310M200US35100,35100,127820,8731,19632,24070,14134,14449,24847,21957,6.8,15.4,18.8,11.1,11.3,19.4,17.2
"Newberry, SC Micro Area",310M200US35140,35140,37593,2308,6081,5956,4121,4850,7922,6355,6.1,16.2,15.8,11.0,12.9,21.1,16.9
"New Castle, IN Micro Area",310M200US35220,35220,49227,2355,8018,6897,5714,7389,10463,8391,4.8,16.3,14.0,11.6,15.0,21.3,17.0
"New Castle, PA Micro Area",310M200US35260,35260,89859,4751,13936,12127,9389,11748,20543,17365,5.3,15.5,13.5,10.4,13.1,22.9,19.3
"New Haven-Milford, CT Metro Area",310M200US35300,35300,863148,46731,140030,144808,104263,121417,176942,128957,5.4,16.2,16.8,12.1,14.1,20.5,14.9
"New Orleans-Metairie, LA Metro Area",310M200US35380,35380,1226440,78378,202492,209544,162765,163814,251568,157879,6.4,16.5,17.1,13.3,13.4,20.5,12.9
"New Philadelphia-Dover, OH Micro Area",310M200US35420,35420,92616,5448,16087,12631,11043,11482,20113,15812,5.9,17.4,13.6,11.9,12.4,21.7,17.1
"Newport, OR Micro Area",310M200US35440,35440,46138,2320,5645,5247,4625,5182,12398,10721,5.0,12.2,11.4,10.0,11.2,26.9,23.2
"Newport, TN Micro Area",310M200US35460,35460,35453,1808,5625,4448,4166,4893,8048,6465,5.1,15.9,12.5,11.8,13.8,22.7,18.2
"Newton, IA Micro Area",310M200US35500,35500,36715,2040,6115,4846,4399,5099,7895,6321,5.6,16.7,13.2,12.0,13.9,21.5,17.2
"New Ulm, MN Micro Area",310M200US35580,35580,25513,1488,4061,3830,2586,3036,5551,4961,5.8,15.9,15.0,10.1,11.9,21.8,19.4
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",310M200US35620,35620,19865045,1229261,3224051,3318203,2719860,2849000,3829800,2694870,6.2,16.2,16.7,13.7,14.3,19.3,13.6
"Niles-Benton Harbor, MI Metro Area",310M200US35660,35660,155992,9530,26182,22093,17693,20165,33908,26421,6.1,16.8,14.2,11.3,12.9,21.7,16.9
"Nogales, AZ Micro Area",310M200US35700,35700,47250,3542,10311,6744,4940,5956,8875,6882,7.5,21.8,14.3,10.5,12.6,18.8,14.6
"Norfolk, NE Micro Area",310M200US35740,35740,48416,3483,8723,7521,5380,5891,9863,7555,7.2,18.0,15.5,11.1,12.2,20.4,15.6
"North Platte, NE Micro Area",310M200US35820,35820,37216,2490,6685,5037,4636,4317,7974,6077,6.7,18.0,13.5,12.5,11.6,21.4,16.3
"Raymondville, TX Micro Area",310M200US39700,39700,22056,1443,4262,4480,3187,2718,3293,2673,6.5,19.3,20.3,14.4,12.3,14.9,12.1
"Reading, PA Metro Area",310M200US39740,39740,413016,24604,71419,65600,46518,58665,83706,62504,6.0,17.3,15.9,11.3,14.2,20.3,15.1
"Red Bluff, CA Micro Area",310M200US39780,39780,63284,4168,11411,9058,7022,7827,13115,10683,6.6,18.0,14.3,11.1,12.4,20.7,16.9
"Redding, CA Metro Area",310M200US39820,39820,178520,10330,28775,26527,19791,21161,39550,32386,5.8,16.1,14.9,11.1,11.9,22.2,18.1
"Red Wing, MN Micro Area",310M200US39860,39860,46336,2755,7985,5856,5257,6118,10284,8081,5.9,17.2,12.6,11.3,13.2,22.2,17.4
"Reno, NV Metro Area",310M200US39900,39900,433919,27186,72006,75288,54831,57852,88347,58409,6.3,16.6,17.4,12.6,13.3,20.4,13.5
"Rexburg, ID Micro Area",310M200US39940,39940,50778,4669,9145,18412,4738,3941,5735,4138,9.2,18.0,36.3,9.3,7.8,11.3,8.1
"Richmond, IN Micro Area",310M200US39980,39980,68360,4207,11300,10064,7859,9087,14161,11682,6.2,16.5,14.7,11.5,13.3,20.7,17.1
"Richmond, VA Metro Area",310M200US40060,40060,1234058,74205,206551,207054,160633,175804,251179,158632,6.0,16.7,16.8,13.0,14.2,20.4,12.9
"Richmond-Berea, KY Micro Area",310M200US40080,40080,102450,5838,15915,22870,12458,13976,18487,12906,5.7,15.5,22.3,12.2,13.6,18.0,12.6
"Rio Grande City, TX Micro Area",310M200US40100,40100,62040,6157,14478,11128,8121,7029,8523,6604,9.9,23.3,17.9,13.1,11.3,13.7,10.6
"Riverside-San Bernardino-Ontario, CA Metro Area",310M200US40140,40140,4345485,316453,884708,780752,573179,575794,732149,482450,7.3,20.4,18.0,13.2,13.3,16.8,11.1
"Riverton, WY Micro Area",310M200US40180,40180,40739,3112,7161,6033,4790,4608,8800,6235,7.6,17.6,14.8,11.8,11.3,21.6,15.3
"Roanoke, VA Metro Area",310M200US40220,40220,310934,17493,48267,44174,35988,42970,68444,53598,5.6,15.5,14.2,11.6,13.8,22.0,17.2
"Roanoke Rapids, NC Micro Area",310M200US40260,40260,75113,4049,12205,10445,7773,9832,16995,13814,5.4,16.2,13.9,10.3,13.1,22.6,18.4
"Rochelle, IL Micro Area",310M200US40300,40300,52782,2820,9746,6864,6100,7396,11258,8598,5.3,18.5,13.0,11.6,14.0,21.3,16.3
"Rochester, MN Metro Area",310M200US40340,40340,210004,14527,37789,30029,27846,27582,42252,29979,6.9,18.0,14.3,13.3,13.1,20.1,14.3
"Rock Springs, WY Micro Area",310M200US40540,40540,44595,3469,8609,7804,6616,5335,8869,3893,7.8,19.3,17.5,14.8,12.0,19.9,8.7
"Rochester, NY Metro Area",310M200US40380,40380,1082578,59944,176465,187415,122545,146510,227368,162331,5.5,16.3,17.3,11.3,13.5,21.0,15.0
"Rockford, IL Metro Area",310M200US40420,40420,346031,22160,63729,50353,42086,48272,69663,49768,6.4,18.4,14.6,12.2,14.0,20.1,14.4
"Rockingham, NC Micro Area",310M200US40460,40460,46317,2707,8493,7043,4983,6519,9631,6941,5.8,18.3,15.2,10.8,14.1,20.8,15.0
"Rocky Mount, NC Metro Area",310M200US40580,40580,150953,9260,26168,21963,17520,20312,32584,23146,6.1,17.3,14.5,11.6,13.5,21.6,15.3
"Rolla, MO Micro Area",310M200US40620,40620,45091,2650,7001,10643,5035,5080,8242,6440,5.9,15.5,23.6,11.2,11.3,18.3,14.3
"Rome, GA Metro Area",310M200US40660,40660,96146,6182,16775,16005,11384,13119,18464,14217,6.4,17.4,16.6,11.8,13.6,19.2,14.8
"Roseburg, OR Micro Area",310M200US40700,40700,107156,5462,15788,13386,10718,12567,25315,23920,5.1,14.7,12.5,10.0,11.7,23.6,22.3
"Roswell, NM Micro Area",310M200US40740,40740,65850,4990,12981,11075,7262,8081,12071,9390,7.6,19.7,16.8,11.0,12.3,18.3,14.3
"Russellville, AR Micro Area",310M200US40780,40780,84621,5630,14393,16101,9809,11090,15588,12010,6.7,17.0,19.0,11.6,13.1,18.4,14.2
"Ruston, LA Micro Area",310M200US40820,40820,47243,2760,6829,15703,5121,4206,7084,5540,5.8,14.5,33.2,10.8,8.9,15.0,11.7
"Rutland, VT Micro Area",310M200US40860,40860,60864,2699,8620,9279,5792,8396,15145,10933,4.4,14.2,15.2,9.5,13.8,24.9,18.0
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",310M200US40900,40900,2197422,140800,390444,378309,286793,294568,421539,284969,6.4,17.8,17.2,13.1,13.4,19.2,13.0
"Safford, AZ Micro Area",310M200US40940,40940,37311,3009,7419,7102,5041,4391,5941,4408,8.1,19.9,19.0,13.5,11.8,15.9,11.8
