CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Alpena, MI Micro Area",310M200US10980,29242,14382,774,14860,686,1460,2273,2161,4434,1794,1732,3526,1646,1457,3103,1694,1896,3590,3542,3578,7120,2659,3350,6009,2.6,2.3,5.0,7.8,7.4,15.2,6.1,5.9,12.1,5.6,5.0,10.6,5.8,6.5,12.3,12.1,12.2,24.3,9.1,11.5,20.5,Alpena, MI,10980
"Altoona, PA Metro Area",310M200US11020,126708,61789,3680,64919,3454,7134,9972,9257,19229,9565,9060,18625,7194,7302,14496,8092,8108,16200,13506,14166,27672,9780,13572,23352,2.9,2.7,5.6,7.9,7.3,15.2,7.5,7.2,14.7,5.7,5.8,11.4,6.4,6.4,12.8,10.7,11.2,21.8,7.7,10.7,18.4,Altoona, PA,11020
"Altus, OK Micro Area",310M200US11060,26275,12996,1056,13279,1049,2105,2344,2353,4697,2566,2268,4834,1727,1571,3298,1447,1683,3130,2323,2399,4722,1533,1956,3489,4.0,4.0,8.0,8.9,9.0,17.9,9.8,8.6,18.4,6.6,6.0,12.6,5.5,6.4,11.9,8.8,9.1,18.0,5.8,7.4,13.3,Altus, OK,11060
"Amarillo, TX Metro Area",310M200US11100,257038,128921,9919,128117,9233,19152,24692,23403,48095,22962,22096,45058,18427,16205,34632,15979,15781,31760,23262,23617,46879,13680,17782,31462,3.9,3.6,7.5,9.6,9.1,18.7,8.9,8.6,17.5,7.2,6.3,13.5,6.2,6.1,12.4,9.1,9.2,18.2,5.3,6.9,12.2,Amarillo, TX,11100
"Americus, GA Micro Area",310M200US11140,36858,17573,1180,19285,1348,2528,3480,3348,6828,3290,3511,6801,1932,2160,4092,2290,2440,4730,3201,3529,6730,2200,2949,5149,3.2,3.7,6.9,9.4,9.1,18.5,8.9,9.5,18.5,5.2,5.9,11.1,6.2,6.6,12.8,8.7,9.6,18.3,6.0,8.0,14.0,Americus, GA,11140
"Ames, IA Metro Area",310M200US11180,91939,47698,2506,44241,2209,4715,5756,5577,11333,19274,15510,34784,5493,5020,10513,3959,3790,7749,6608,6819,13427,4102,5316,9418,2.7,2.4,5.1,6.3,6.1,12.3,21.0,16.9,37.8,6.0,5.5,11.4,4.3,4.1,8.4,7.2,7.4,14.6,4.5,5.8,10.2,Ames, IA,11180
"Amsterdam, NY Micro Area",310M200US11220,49951,24564,1603,25387,1377,2980,4395,4092,8487,3663,3560,7223,2862,2720,5582,3138,3396,6534,5275,5383,10658,3628,4859,8487,3.2,2.8,6.0,8.8,8.2,17.0,7.3,7.1,14.5,5.7,5.4,11.2,6.3,6.8,13.1,10.6,10.8,21.3,7.3,9.7,17.0,Amsterdam, NY,11220
"Anchorage, AK Metro Area",310M200US11260,392021,200776,14658,191245,14456,29114,37471,35314,72785,40852,34932,75784,27818,26158,53976,26418,26264,52682,38223,37142,75365,15336,16979,32315,3.7,3.7,7.4,9.6,9.0,18.6,10.4,8.9,19.3,7.1,6.7,13.8,6.7,6.7,13.4,9.8,9.5,19.2,3.9,4.3,8.2,Anchorage, AK,11260
"Andrews, TX Micro Area",310M200US11380,16126,8048,655,8078,752,1407,1762,1573,3335,1430,1388,2818,1050,886,1936,989,1185,2174,1393,1340,2733,769,954,1723,4.1,4.7,8.7,10.9,9.8,20.7,8.9,8.6,17.5,6.5,5.5,12.0,6.1,7.3,13.5,8.6,8.3,16.9,4.8,5.9,10.7,Andrews, TX,11380
"Angola, IN Micro Area",310M200US11420,34190,17273,895,16917,873,1768,2869,2836,5705,2986,2435,5421,1899,1861,3760,2322,2195,4517,3772,3769,7541,2530,2948,5478,2.6,2.6,5.2,8.4,8.3,16.7,8.7,7.1,15.9,5.6,5.4,11.0,6.8,6.4,13.2,11.0,11.0,22.1,7.4,8.6,16.0,Angola, IN,11420
"Ann Arbor, MI Metro Area",310M200US11460,351454,173390,9482,178064,9300,18782,26863,25389,52252,45083,43714,88797,22712,21813,44525,21345,22740,44085,30785,33350,64135,17120,21758,38878,2.7,2.6,5.3,7.6,7.2,14.9,12.8,12.4,25.3,6.5,6.2,12.7,6.1,6.5,12.5,8.8,9.5,18.2,4.9,6.2,11.1,Ann Arbor, MI,11460
"Anniston-Oxford-Jacksonville, AL Metro Area",310M200US11500,117186,56478,3611,60708,3297,6908,9939,9490,19429,9734,10043,19777,6771,7155,13926,7534,7817,15351,11421,12554,23975,7468,10352,17820,3.1,2.8,5.9,8.5,8.1,16.6,8.3,8.6,16.9,5.8,6.1,11.9,6.4,6.7,13.1,9.7,10.7,20.5,6.4,8.8,15.2,Anniston-Oxford-Jacksonville, AL,11500
"Appleton, WI Metro Area",310M200US11540,228641,114228,7594,114413,7047,14641,21687,20559,42246,17285,16378,33663,15533,14837,30370,16671,16720,33391,23037,23036,46073,12421,15836,28257,3.3,3.1,6.4,9.5,9.0,18.5,7.6,7.2,14.7,6.8,6.5,13.3,7.3,7.3,14.6,10.1,10.1,20.2,5.4,6.9,12.4,Appleton, WI,11540
"Arcadia, FL Micro Area",310M200US11580,34785,19627,1041,15158,1023,2064,2898,2516,5414,4083,2092,6175,2404,1638,4042,2500,1659,4159,3545,2888,6433,3156,3342,6498,3.0,2.9,5.9,8.3,7.2,15.6,11.7,6.0,17.8,6.9,4.7,11.6,7.2,4.8,12.0,10.2,8.3,18.5,9.1,9.6,18.7,Arcadia, FL,11580
"Ardmore, OK Micro Area",310M200US11620,48288,23453,1608,24835,1733,3341,4520,4458,8978,3530,3353,6883,2928,3012,5940,3043,3113,6156,4629,4869,9498,3195,4297,7492,3.3,3.6,6.9,9.4,9.2,18.6,7.3,6.9,14.3,6.1,6.2,12.3,6.3,6.4,12.7,9.6,10.1,19.7,6.6,8.9,15.5,Ardmore, OK,11620
"Arecibo, PR Metro Area",310M200US11640,195749,94483,5367,101266,5133,10500,17295,16181,33476,15758,15451,31209,12250,12865,25115,12697,14241,26938,16650,19309,35959,14466,18086,32552,2.7,2.6,5.4,8.8,8.3,17.1,8.1,7.9,15.9,6.3,6.6,12.8,6.5,7.3,13.8,8.5,9.9,18.4,7.4,9.2,16.6,Arecibo, PR,11640
"Arkadelphia, AR Micro Area",310M200US11660,22800,10794,686,12006,525,1211,1504,1776,3280,2963,3151,6114,999,1082,2081,1219,1433,2652,1930,2049,3979,1493,1990,3483,3.0,2.3,5.3,6.6,7.8,14.4,13.0,13.8,26.8,4.4,4.7,9.1,5.3,6.3,11.6,8.5,9.0,17.5,6.5,8.7,15.3,Arkadelphia, AR,11660
"Arkansas City-Winfield, KS Micro Area",310M200US11680,36201,18165,1218,18036,1175,2393,3355,3006,6361,3140,2943,6083,1981,1847,3828,2363,2234,4597,3482,3515,6997,2626,3316,5942,3.4,3.2,6.6,9.3,8.3,17.6,8.7,8.1,16.8,5.5,5.1,10.6,6.5,6.2,12.7,9.6,9.7,19.3,7.3,9.2,16.4,Arkansas City-Winfield, KS,11680
"Asheville, NC Metro Area",310M200US11700,433204,209258,11612,223946,10835,22447,32504,30760,63264,30099,29781,59880,26326,27137,53463,28353,28499,56852,43776,49310,93086,36588,47624,84212,2.7,2.5,5.2,7.5,7.1,14.6,6.9,6.9,13.8,6.1,6.3,12.3,6.5,6.6,13.1,10.1,11.4,21.5,8.4,11.0,19.4,Asheville, NC,11700
"Ashland, OH Micro Area",310M200US11740,53202,26006,1583,27196,1508,3091,4738,4521,9259,4217,4492,8709,2741,2819,5560,3544,3366,6910,5290,5619,10909,3893,4871,8764,3.0,2.8,5.8,8.9,8.5,17.4,7.9,8.4,16.4,5.2,5.3,10.5,6.7,6.3,13.0,9.9,10.6,20.5,7.3,9.2,16.5,Ashland, OH,11740
"Ashtabula, OH Micro Area",310M200US11780,100346,50307,3025,50039,2836,5861,8804,8438,17242,7143,6347,13490,5827,5555,11382,7226,6734,13960,10981,10985,21966,7301,9144,16445,3.0,2.8,5.8,8.8,8.4,17.2,7.1,6.3,13.4,5.8,5.5,11.3,7.2,6.7,13.9,10.9,10.9,21.9,7.3,9.1,16.4,Ashtabula, OH,11780
"Astoria, OR Micro Area",310M200US11820,37236,18357,921,18879,1019,1940,2783,2683,5466,2852,2613,5465,2020,2169,4189,2325,2116,4441,4377,4623,9000,3079,3656,6735,2.5,2.7,5.2,7.5,7.2,14.7,7.7,7.0,14.7,5.4,5.8,11.2,6.2,5.7,11.9,11.8,12.4,24.2,8.3,9.8,18.1,Astoria, OR,11820
"Atchison, KS Micro Area",310M200US11860,16737,8078,536,8659,545,1081,1514,1403,2917,1688,1724,3412,855,775,1630,854,1068,1922,1560,1591,3151,1071,1553,2624,3.2,3.3,6.5,9.0,8.4,17.4,10.1,10.3,20.4,5.1,4.6,9.7,5.1,6.4,11.5,9.3,9.5,18.8,6.4,9.3,15.7,Atchison, KS,11860
"Athens, OH Micro Area",310M200US11900,64840,32388,1382,32452,1302,2684,3746,3657,7403,12552,12150,24702,3398,3018,6416,3188,3310,6498,5078,5139,10217,3044,3876,6920,2.1,2.0,4.1,5.8,5.6,11.4,19.4,18.7,38.1,5.2,4.7,9.9,4.9,5.1,10.0,7.8,7.9,15.8,4.7,6.0,10.7,Athens, OH,11900
"Athens, TN Micro Area",310M200US11940,52409,25384,1542,27025,1523,3065,4257,4194,8451,3492,3649,7141,3043,3210,6253,3373,3495,6868,5543,5705,11248,4134,5249,9383,2.9,2.9,5.8,8.1,8.0,16.1,6.7,7.0,13.6,5.8,6.1,11.9,6.4,6.7,13.1,10.6,10.9,21.5,7.9,10.0,17.9,Athens, TN,11940
"Athens, TX Micro Area",310M200US11980,78836,38701,2376,40135,2113,4489,6848,6317,13165,5394,5166,10560,3953,3878,7831,4832,5332,10164,8139,8785,16924,7159,8544,15703,3.0,2.7,5.7,8.7,8.0,16.7,6.8,6.6,13.4,5.0,4.9,9.9,6.1,6.8,12.9,10.3,11.1,21.5,9.1,10.8,19.9,Athens, TX,11980
"Athens-Clarke County, GA Metro Area",310M200US12020,196287,94472,5590,101815,5761,11351,14761,13923,28684,26601,29669,56270,12105,12389,24494,11285,11432,22717,14934,16373,31307,9196,12268,21464,2.8,2.9,5.8,7.5,7.1,14.6,13.6,15.1,28.7,6.2,6.3,12.5,5.7,5.8,11.6,7.6,8.3,15.9,4.7,6.3,10.9,Athens-Clarke County, GA,12020
"Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,5455053,2649723,191363,2805330,183087,374450,528243,509183,1037426,444174,442716,886890,379729,415507,795236,408485,430226,838711,466719,516385,983104,231010,308226,539236,3.5,3.4,6.9,9.7,9.3,19.0,8.1,8.1,16.3,7.0,7.6,14.6,7.5,7.9,15.4,8.6,9.5,18.0,4.2,5.7,9.9,Atlanta-Sandy Springs-Roswell, GA,12060
"Atlantic City-Hammonton, NJ Metro Area",310M200US12100,275325,133392,8425,141933,8155,16580,23447,22292,45739,21395,21230,42625,14922,15905,30827,19055,20767,39822,28322,30253,58575,17826,23331,41157,3.1,3.0,6.0,8.5,8.1,16.6,7.8,7.7,15.5,5.4,5.8,11.2,6.9,7.5,14.5,10.3,11.0,21.3,6.5,8.5,14.9,Atlantic City-Hammonton, NJ,12100
"Auburn, IN Micro Area",310M200US12140,42321,21071,1394,21250,1275,2669,4171,3940,8111,2919,2960,5879,2625,2683,5308,2948,2688,5636,4460,4351,8811,2554,3353,5907,3.3,3.0,6.3,9.9,9.3,19.2,6.9,7.0,13.9,6.2,6.3,12.5,7.0,6.4,13.3,10.5,10.3,20.8,6.0,7.9,14.0,Auburn, IN,12140
"Auburn, NY Micro Area",310M200US12180,79481,40650,2151,38831,1997,4148,6459,6055,12514,6290,5494,11784,4657,4010,8667,6367,5442,11809,9016,8697,17713,5710,7136,12846,2.7,2.5,5.2,8.1,7.6,15.7,7.9,6.9,14.8,5.9,5.0,10.9,8.0,6.8,14.9,11.3,10.9,22.3,7.2,9.0,16.2,Auburn, NY,12180
"Auburn-Opelika, AL Metro Area",310M200US12220,147790,72908,4450,74882,4369,8819,12109,11552,23661,20924,20189,41113,9015,9409,18424,8971,9253,18224,11075,12210,23285,6364,7900,14264,3.0,3.0,6.0,8.2,7.8,16.0,14.2,13.7,27.8,6.1,6.4,12.5,6.1,6.3,12.3,7.5,8.3,15.8,4.3,5.3,9.7,Auburn-Opelika, AL,12220
"Augusta-Richmond County, GA-SC Metro Area",310M200US12260,575669,280458,19245,295211,18610,37855,51938,49390,101328,49967,47833,97800,34440,36867,71307,36964,38732,75696,54594,60203,114797,33310,43576,76886,3.3,3.2,6.6,9.0,8.6,17.6,8.7,8.3,17.0,6.0,6.4,12.4,6.4,6.7,13.1,9.5,10.5,19.9,5.8,7.6,13.4,Augusta-Richmond County, GA,12260
"Augusta-Waterville, ME Micro Area",310M200US12300,121507,58916,2993,62591,3052,6045,9332,9167,18499,8467,8620,17087,6763,6974,13737,8320,8762,17082,14053,14899,28952,8988,11117,20105,2.5,2.5,5.0,7.7,7.5,15.2,7.0,7.1,14.1,5.6,5.7,11.3,6.8,7.2,14.1,11.6,12.3,23.8,7.4,9.1,16.5,Augusta-Waterville, ME,12300
"Austin, MN Micro Area",310M200US12380,39312,19654,1341,19658,1344,2685,3711,3486,7197,2880,2574,5454,2487,2296,4783,2377,2273,4650,3950,3741,7691,2908,3944,6852,3.4,3.4,6.8,9.4,8.9,18.3,7.3,6.5,13.9,6.3,5.8,12.2,6.0,5.8,11.8,10.0,9.5,19.6,7.4,10.0,17.4,Austin, MN,12380
"Austin-Round Rock, TX Metro Area",310M200US12420,1835016,918393,66056,916623,63187,129243,165923,159001,324924,181059,175964,357023,154117,145694,299811,131623,128695,260318,147967,154285,302252,71648,89797,161445,3.6,3.4,7.0,9.0,8.7,17.7,9.9,9.6,19.5,8.4,7.9,16.3,7.2,7.0,14.2,8.1,8.4,16.5,3.9,4.9,8.8,Austin-Round Rock, TX,12420
"Bainbridge, GA Micro Area",310M200US12460,27508,13399,1021,14109,868,1889,2529,2487,5016,2185,2070,4255,1628,1518,3146,1829,1948,3777,2566,2822,5388,1641,2396,4037,3.7,3.2,6.9,9.2,9.0,18.2,7.9,7.5,15.5,5.9,5.5,11.4,6.6,7.1,13.7,9.3,10.3,19.6,6.0,8.7,14.7,Bainbridge, GA,12460
"Bakersfield, CA Metro Area",310M200US12540,857730,440712,37012,417018,36008,73020,92830,89445,182275,87738,73881,161619,62119,54703,116822,55559,50945,106504,68809,67884,136693,36645,44152,80797,4.3,4.2,8.5,10.8,10.4,21.3,10.2,8.6,18.8,7.2,6.4,13.6,6.5,5.9,12.4,8.0,7.9,15.9,4.3,5.1,9.4,Bakersfield, CA,12540
"Baltimore-Columbia-Towson, MD Metro Area",310M200US12580,2753396,1327121,86194,1426275,83232,169426,229927,221110,451037,232488,233386,465874,169535,182373,351908,188216,201896,390112,265936,292937,558873,154825,211341,366166,3.1,3.0,6.2,8.4,8.0,16.4,8.4,8.5,16.9,6.2,6.6,12.8,6.8,7.3,14.2,9.7,10.6,20.3,5.6,7.7,13.3,Baltimore-Columbia-Towson, MD,12580
"Bangor, ME Metro Area",310M200US12620,153627,75770,3756,77857,3644,7400,11381,10609,21990,14978,14028,29006,8227,8558,16785,10263,10543,20806,16635,17319,33954,10530,13156,23686,2.4,2.4,4.8,7.4,6.9,14.3,9.7,9.1,18.9,5.4,5.6,10.9,6.7,6.9,13.5,10.8,11.3,22.1,6.9,8.6,15.4,Bangor, ME,12620
"Baraboo, WI Micro Area",310M200US12660,62681,31223,1990,31458,1817,3807,5633,5242,10875,4413,4190,8603,4204,3722,7926,4043,4167,8210,6575,6642,13217,4365,5678,10043,3.2,2.9,6.1,9.0,8.4,17.3,7.0,6.7,13.7,6.7,5.9,12.6,6.5,6.6,13.1,10.5,10.6,21.1,7.0,9.1,16.0,Baraboo, WI,12660
"Bardstown, KY Micro Area",310M200US12680,44254,21862,1664,22392,1460,3124,4289,3826,8115,3003,3292,6295,2920,2753,5673,3074,3300,6374,4534,4653,9187,2378,3108,5486,3.8,3.3,7.1,9.7,8.6,18.3,6.8,7.4,14.2,6.6,6.2,12.8,6.9,7.5,14.4,10.2,10.5,20.8,5.4,7.0,12.4,Bardstown, KY,12680
"Barnstable Town, MA Metro Area",310M200US12700,215167,102541,4401,112626,4314,8715,13695,13167,26862,13047,11103,24150,9112,9098,18210,12592,14151,26743,25087,28603,53690,24607,32190,56797,2.0,2.0,4.1,6.4,6.1,12.5,6.1,5.2,11.2,4.2,4.2,8.5,5.9,6.6,12.4,11.7,13.3,25.0,11.4,15.0,26.4,Barnstable Town, MA,12700
"Barre, VT Micro Area",310M200US12740,59333,29318,1585,30015,1438,3023,4429,4427,8856,4766,3838,8604,3191,3515,6706,4278,4395,8673,6953,7248,14201,4116,5154,9270,2.7,2.4,5.1,7.5,7.5,14.9,8.0,6.5,14.5,5.4,5.9,11.3,7.2,7.4,14.6,11.7,12.2,23.9,6.9,8.7,15.6,Barre, VT,12740
"Bartlesville, OK Micro Area",310M200US12780,51564,24829,1730,26735,1600,3330,4523,4317,8840,3723,3650,7373,3035,3108,6143,2831,3125,5956,4995,5643,10638,3992,5292,9284,3.4,3.1,6.5,8.8,8.4,17.1,7.2,7.1,14.3,5.9,6.0,11.9,5.5,6.1,11.6,9.7,10.9,20.6,7.7,10.3,18.0,Bartlesville, OK,12780
"Bastrop, LA Micro Area",310M200US12820,27319,13064,977,14255,981,1958,2398,2336,4734,2030,2010,4040,1596,1725,3321,1553,1648,3201,2641,3029,5670,1869,2526,4395,3.6,3.6,7.2,8.8,8.6,17.3,7.4,7.4,14.8,5.8,6.3,12.2,5.7,6.0,11.7,9.7,11.1,20.8,6.8,9.2,16.1,Bastrop, LA,12820
"Batavia, NY Micro Area",310M200US12860,59702,29876,1640,29826,1535,3175,4881,4594,9475,4756,4258,9014,3444,2993,6437,4243,4304,8547,6595,6665,13260,4317,5477,9794,2.7,2.6,5.3,8.2,7.7,15.9,8.0,7.1,15.1,5.8,5.0,10.8,7.1,7.2,14.3,11.0,11.2,22.2,7.2,9.2,16.4,Batavia, NY,12860
"Batesville, AR Micro Area",310M200US12900,36861,18109,1264,18752,1122,2386,3414,3087,6501,2695,2712,5407,2445,2472,4917,2190,2257,4447,3577,3704,7281,2524,3398,5922,3.4,3.0,6.5,9.3,8.4,17.6,7.3,7.4,14.7,6.6,6.7,13.3,5.9,6.1,12.1,9.7,10.0,19.8,6.8,9.2,16.1,Batesville, AR,12900
"Baton Rouge, LA Metro Area",310M200US12940,814805,399508,28085,415297,26678,54763,72661,70040,142701,79120,78627,157747,54998,54399,109397,50928,53276,104204,73126,78888,152014,40590,53389,93979,3.4,3.3,6.7,8.9,8.6,17.5,9.7,9.6,19.4,6.7,6.7,13.4,6.3,6.5,12.8,9.0,9.7,18.7,5.0,6.6,11.5,Baton Rouge, LA,12940
"Battle Creek, MI Metro Area",310M200US12980,135150,66037,4263,69113,4043,8306,12122,11515,23637,10216,10073,20289,7397,7941,15338,9183,9204,18387,13756,14448,28204,9100,11889,20989,3.2,3.0,6.1,9.0,8.5,17.5,7.6,7.5,15.0,5.5,5.9,11.3,6.8,6.8,13.6,10.2,10.7,20.9,6.7,8.8,15.5,Battle Creek, MI,12980
"Blackfoot, ID Micro Area",310M200US13940,45558,22831,2092,22727,2002,4094,5430,5178,10608,3341,3286,6627,2758,2783,5541,2582,2609,5191,4014,3945,7959,2614,2924,5538,4.6,4.4,9.0,11.9,11.4,23.3,7.3,7.2,14.5,6.1,6.1,12.2,5.7,5.7,11.4,8.8,8.7,17.5,5.7,6.4,12.2,Blackfoot, ID,13940
"Beatrice, NE Micro Area",310M200US13100,21889,10785,658,11104,625,1283,1827,1786,3613,1402,1243,2645,1144,1125,2269,1443,1409,2852,2452,2451,4903,1859,2465,4324,3.0,2.9,5.9,8.3,8.2,16.5,6.4,5.7,12.1,5.2,5.1,10.4,6.6,6.4,13.0,11.2,11.2,22.4,8.5,11.3,19.8,Beatrice, NE,13100
"Blacksburg-Christiansburg-Radford, VA Metro Area",310M200US13980,179908,91094,4178,88814,3911,8089,11701,10995,22696,28671,24866,53537,10223,9382,19605,10612,10283,20895,15002,15850,30852,10707,13527,24234,2.3,2.2,4.5,6.5,6.1,12.6,15.9,13.8,29.8,5.7,5.2,10.9,5.9,5.7,11.6,8.3,8.8,17.1,6.0,7.5,13.5,Blacksburg-Christiansburg-Radford, VA,13980
"Bay City, MI Metro Area",310M200US13020,107074,52661,3069,54413,2794,5863,8981,8218,17199,7819,7420,15239,6366,5677,12043,6883,7390,14273,11615,12322,23937,7928,10592,18520,2.9,2.6,5.5,8.4,7.7,16.1,7.3,6.9,14.2,5.9,5.3,11.2,6.4,6.9,13.3,10.8,11.5,22.4,7.4,9.9,17.3,Bay City, MI,13020
"Bay City, TX Micro Area",310M200US13060,36611,18078,1298,18533,1289,2587,3458,3307,6765,2860,2853,5713,2122,2190,4312,2046,2119,4165,3844,3772,7616,2450,3003,5453,3.5,3.5,7.1,9.4,9.0,18.5,7.8,7.8,15.6,5.8,6.0,11.8,5.6,5.8,11.4,10.5,10.3,20.8,6.7,8.2,14.9,Bay City, TX,13060
"Beaumont-Port Arthur, TX Metro Area",310M200US13140,404741,204483,13722,200258,13456,27178,35891,34613,70504,35796,31545,67341,28079,24271,52350,27041,25709,52750,39865,39581,79446,24089,31083,55172,3.4,3.3,6.7,8.9,8.6,17.4,8.8,7.8,16.6,6.9,6.0,12.9,6.7,6.4,13.0,9.8,9.8,19.6,6.0,7.7,13.6,Beaumont-Port Arthur, TX,13140
"Beaver Dam, WI Micro Area",310M200US13180,88589,46421,2469,42168,2179,4648,7177,7282,14459,7168,5101,12269,6281,4805,11086,7172,5930,13102,10079,9212,19291,6075,7659,13734,2.8,2.5,5.2,8.1,8.2,16.3,8.1,5.8,13.8,7.1,5.4,12.5,8.1,6.7,14.8,11.4,10.4,21.8,6.9,8.6,15.5,Beaver Dam, WI,13180
"Beckley, WV Metro Area",310M200US13220,124536,62274,3810,62262,3649,7459,9434,8984,18418,9085,7930,17015,8844,7825,16669,7999,7682,15681,13769,14096,27865,9333,12096,21429,3.1,2.9,6.0,7.6,7.2,14.8,7.3,6.4,13.7,7.1,6.3,13.4,6.4,6.2,12.6,11.1,11.3,22.4,7.5,9.7,17.2,Beckley, WV,13220
"Bedford, IN Micro Area",310M200US13260,45970,22747,1368,23223,1247,2615,4082,3810,7892,2994,2910,5904,2749,2720,5469,3143,3074,6217,4956,5052,10008,3455,4410,7865,3.0,2.7,5.7,8.9,8.3,17.2,6.5,6.3,12.8,6.0,5.9,11.9,6.8,6.7,13.5,10.8,11.0,21.8,7.5,9.6,17.1,Bedford, IN,13260
"Beeville, TX Micro Area",310M200US13300,32462,19550,910,12912,976,1886,2504,2493,4997,4071,2033,6104,3670,1456,5126,3598,1493,5091,3187,2435,5622,1610,2026,3636,2.8,3.0,5.8,7.7,7.7,15.4,12.5,6.3,18.8,11.3,4.5,15.8,11.1,4.6,15.7,9.8,7.5,17.3,5.0,6.2,11.2,Beeville, TX,13300
"Bellefontaine, OH Micro Area",310M200US13340,45564,22365,1391,23199,1469,2860,4328,4019,8347,2878,3026,5904,2794,2824,5618,2920,2852,5772,4902,4992,9894,3152,4017,7169,3.1,3.2,6.3,9.5,8.8,18.3,6.3,6.6,13.0,6.1,6.2,12.3,6.4,6.3,12.7,10.8,11.0,21.7,6.9,8.8,15.7,Bellefontaine, OH,13340
"Bellingham, WA Metro Area",310M200US13380,204855,101494,5818,103361,5595,11413,15675,14984,30659,22005,21665,43670,12585,12275,24860,12314,12356,24670,19563,20675,40238,13534,15811,29345,2.8,2.7,5.6,7.7,7.3,15.0,10.7,10.6,21.3,6.1,6.0,12.1,6.0,6.0,12.0,9.5,10.1,19.6,6.6,7.7,14.3,Bellingham, WA,13380
"Bemidji, MN Micro Area",310M200US13420,45236,22654,1713,22582,1697,3410,4240,3764,8004,4790,4619,9409,2539,2301,4840,2354,2581,4935,4180,4307,8487,2838,3313,6151,3.8,3.8,7.5,9.4,8.3,17.7,10.6,10.2,20.8,5.6,5.1,10.7,5.2,5.7,10.9,9.2,9.5,18.8,6.3,7.3,13.6,Bemidji, MN,13420
"Bend-Redmond, OR Metro Area",310M200US13460,163141,80452,4629,82689,4546,9175,13868,13159,27027,10859,10760,21619,10299,10182,20481,10776,11140,21916,17151,18726,35877,12870,14176,27046,2.8,2.8,5.6,8.5,8.1,16.6,6.7,6.6,13.3,6.3,6.2,12.6,6.6,6.8,13.4,10.5,11.5,22.0,7.9,8.7,16.6,Bend-Redmond, OR,13460
"Bennettsville, SC Micro Area",310M200US13500,28294,14942,764,13352,806,1570,2202,2189,4391,2561,1792,4353,2585,1440,4025,2180,1856,4036,2901,2932,5833,1749,2337,4086,2.7,2.8,5.5,7.8,7.7,15.5,9.1,6.3,15.4,9.1,5.1,14.2,7.7,6.6,14.3,10.3,10.4,20.6,6.2,8.3,14.4,Bennettsville, SC,13500
"Bennington, VT Micro Area",310M200US13540,36739,17893,960,18846,816,1776,2928,2584,5512,2412,2622,5034,1783,1811,3594,2195,2480,4675,4335,4467,8802,3280,4066,7346,2.6,2.2,4.8,8.0,7.0,15.0,6.6,7.1,13.7,4.9,4.9,9.8,6.0,6.8,12.7,11.8,12.2,24.0,8.9,11.1,20.0,Bennington, VT,13540
"Berlin, NH-VT Micro Area",310M200US13620,38433,19658,809,18775,750,1559,2779,2510,5289,2370,1997,4367,2194,1754,3948,2737,2651,5388,5050,4826,9876,3719,4287,8006,2.1,2.0,4.1,7.2,6.5,13.8,6.2,5.2,11.4,5.7,4.6,10.3,7.1,6.9,14.0,13.1,12.6,25.7,9.7,11.2,20.8,Berlin, NH,13620
"Big Rapids, MI Micro Area",310M200US13660,43226,21753,1081,21473,1015,2096,3227,3046,6273,5973,5354,11327,1936,1865,3801,2384,2255,4639,3996,4202,8198,3156,3736,6892,2.5,2.3,4.8,7.5,7.0,14.5,13.8,12.4,26.2,4.5,4.3,8.8,5.5,5.2,10.7,9.2,9.7,19.0,7.3,8.6,15.9,Big Rapids, MI,13660
"Big Spring, TX Micro Area",310M200US13700,36892,20844,1166,16048,1111,2277,3111,2923,6034,3928,2509,6437,3542,1801,5343,2989,2072,5061,3896,3095,6991,2212,2537,4749,3.2,3.0,6.2,8.4,7.9,16.4,10.6,6.8,17.4,9.6,4.9,14.5,8.1,5.6,13.7,10.6,8.4,18.9,6.0,6.9,12.9,Big Spring, TX,13700
"Big Stone Gap, VA Micro Area",310M200US13720,60499,30657,1614,29842,1605,3219,4611,4545,9156,5278,4464,9742,4175,3578,7753,4426,3953,8379,6404,6522,12926,4149,5175,9324,2.7,2.7,5.3,7.6,7.5,15.1,8.7,7.4,16.1,6.9,5.9,12.8,7.3,6.5,13.8,10.6,10.8,21.4,6.9,8.6,15.4,Big Stone Gap, VA,13720
"Billings, MT Metro Area",310M200US13740,162892,79941,5415,82951,5205,10620,13758,13596,27354,12361,12404,24765,10267,10372,20639,10228,10172,20400,16976,17496,34472,10936,13706,24642,3.3,3.2,6.5,8.4,8.3,16.8,7.6,7.6,15.2,6.3,6.4,12.7,6.3,6.2,12.5,10.4,10.7,21.2,6.7,8.4,15.1,Billings, MT,13740
