CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Port Clinton, OH Micro Area",310M200US38840,41304,20562,980,20742,863,1843,3319,3113,6432,2330,2153,4483,1996,2217,4213,2814,2625,5439,5239,5255,10494,3884,4516,8400,2.4,2.1,4.5,8.0,7.5,15.6,5.6,5.2,10.9,4.8,5.4,10.2,6.8,6.4,13.2,12.7,12.7,25.4,9.4,10.9,20.3,Port Clinton, OH,38840
"Portland-South Portland, ME Metro Area",310M200US38860,518387,251688,13292,266699,12640,25932,40579,38731,79310,37246,37291,74537,30190,30680,60870,36881,38676,75557,57370,61797,119167,36130,46884,83014,2.6,2.4,5.0,7.8,7.5,15.3,7.2,7.2,14.4,5.8,5.9,11.7,7.1,7.5,14.6,11.1,11.9,23.0,7.0,9.0,16.0,Portland-South Portland, ME,38860
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",310M200US38900,2288796,1130354,73121,1158442,69600,142721,197074,187694,384768,181755,181708,363463,170005,171010,341015,164783,160144,324927,219950,230402,450352,123666,157884,281550,3.2,3.0,6.2,8.6,8.2,16.8,7.9,7.9,15.9,7.4,7.5,14.9,7.2,7.0,14.2,9.6,10.1,19.7,5.4,6.9,12.3,Portland-Vancouver-Hillsboro, OR,38900
"Port Lavaca, TX Micro Area",310M200US38920,21569,10783,706,10786,819,1525,1943,2073,4016,1624,1525,3149,1334,1240,2574,1320,1361,2681,2170,2028,4198,1686,1740,3426,3.3,3.8,7.1,9.0,9.6,18.6,7.5,7.1,14.6,6.2,5.7,11.9,6.1,6.3,12.4,10.1,9.4,19.5,7.8,8.1,15.9,Port Lavaca, TX,38920
"Port St. Lucie, FL Metro Area",310M200US38940,433646,212648,11249,220998,10665,21914,33161,31792,64953,27961,25628,53589,22865,22909,45774,26614,27364,53978,43443,47082,90525,47355,55558,102913,2.6,2.5,5.1,7.6,7.3,15.0,6.4,5.9,12.4,5.3,5.3,10.6,6.1,6.3,12.4,10.0,10.9,20.9,10.9,12.8,23.7,Port St. Lucie, FL,38940
"Portsmouth, OH Micro Area",310M200US39020,78520,38934,2275,39586,2117,4392,6868,6225,13093,6644,5852,12496,5142,4848,9990,4940,5070,10010,7753,8266,16019,5312,7208,12520,2.9,2.7,5.6,8.7,7.9,16.7,8.5,7.5,15.9,6.5,6.2,12.7,6.3,6.5,12.7,9.9,10.5,20.4,6.8,9.2,15.9,Portsmouth, OH,39020
"Pottsville, PA Micro Area",310M200US39060,147146,74906,3779,72240,3469,7248,11238,10561,21799,10312,8783,19095,9737,7933,17670,11641,10010,21651,16533,15830,32363,11666,15654,27320,2.6,2.4,4.9,7.6,7.2,14.8,7.0,6.0,13.0,6.6,5.4,12.0,7.9,6.8,14.7,11.2,10.8,22.0,7.9,10.6,18.6,Pottsville, PA,39060
"Prescott, AZ Metro Area",310M200US39140,213689,104595,4909,109094,4817,9726,15040,14073,29113,12806,11383,24189,9669,9349,19018,10720,11689,22409,24771,28354,53125,26680,29429,56109,2.3,2.3,4.6,7.0,6.6,13.6,6.0,5.3,11.3,4.5,4.4,8.9,5.0,5.5,10.5,11.6,13.3,24.9,12.5,13.8,26.3,Prescott, AZ,39140
"Price, UT Micro Area",310M200US39220,21118,10444,845,10674,809,1654,2003,2019,4022,1799,1733,3532,1441,1351,2792,948,1076,2024,2032,2039,4071,1376,1647,3023,4.0,3.8,7.8,9.5,9.6,19.0,8.5,8.2,16.7,6.8,6.4,13.2,4.5,5.1,9.6,9.6,9.7,19.3,6.5,7.8,14.3,Price, UT,39220
"Prineville, OR Micro Area",310M200US39260,20798,10324,468,10474,445,913,1770,1544,3314,1121,995,2116,1084,1148,2232,1173,1301,2474,2380,2654,5034,2328,2387,4715,2.3,2.1,4.4,8.5,7.4,15.9,5.4,4.8,10.2,5.2,5.5,10.7,5.6,6.3,11.9,11.4,12.8,24.2,11.2,11.5,22.7,Prineville, OR,39260
